GVKEY,datadate,fyear,tic,conm,curcd,at,bkvlps,ceq,ceql,che,cogs,csho,dlc,dltt,dvc,ebit,ebitda,epsfx,lt,ni,revt,seq,costat,prcc_f,gross profit,gp/at,asset turnover,gross margin,div /share,div yeild,if pro,if div,
65374,31-Dec-21,2021,OMEX,ODYSSEY MARINE EXPLORATION,USD,8.909,-1.8194,-26.034,-26.034,2.275,15.864,14.309,22.947,18.789,0,-14.952,-14.943,-0.75,71.398,-9.956,0.921,-26.034,A,5.2,-14.943,-1.677292625,0.103378606,-16.2247557,0,0,FALSE,FALSE,
19719,31-Dec-21,2021,RESN,RESONANT INC,USD,28.361,0.2277,15.256,15.256,21.261,37.232,67,0.566,1.212,0,-35.954,-35.054,-0.58,13.105,-35.97,2.178,15.256,I,1.71,-35.054,-1.235993089,0.0767956,-16.09458219,0,0,FALSE,FALSE,
32715,31-Dec-21,2021,ARCT,ARCTURUS THERAPETCS HOLD INC,USD,392.814,8.6535,228.211,228.211,370.492,209.018,26.372,24.011,45.135,0,-197.852,-196.659,-7.74,164.603,-203.674,12.359,228.211,A,37.01,-196.659,-0.500641525,0.031462728,-15.91220973,0,0,FALSE,FALSE,
17910,31-Dec-21,2021,NHWK,NIGHTHAWK BIOSCIENCES INC,USD,120.961,4.4097,113.108,113.108,96.378,35.042,25.65,0.611,1.316,0,-33.537,-32.929,-1.41,8.927,-35.071,2.113,113.108,A,3.04,-32.929,-0.272228239,0.01746844,-15.58400379,0,0,FALSE,FALSE,
140172,31-Dec-21,2021,VS,VERSUS SYSTEMS INC,USD,18.544,1.4541,22.624,22.624,1.678,12.696,15.559,2.347,0.807,0,-14.242,-11.927,-1.01,4.541,-14.399,0.769,22.624,A,2.1,-11.927,-0.643172994,0.041468939,-15.50975293,0,0,FALSE,FALSE,
176017,31-Dec-21,2021,ATHX,ATHERSYS INC,USD,60.184,0.0674,16.369,16.369,37.407,88.845,242.844,1.011,8.755,0,-84.258,-83.331,-0.39,43.815,-86.955,5.514,16.369,A,0.9026,-83.331,-1.384603881,0.091619035,-15.11262242,0,0,FALSE,FALSE,
291881,31-Dec-21,2021,CANF,CAN FITE BIOPHARMA,USD,20.253,0.5289,14.382,14.382,19.139,13.681,27.192,0.053,0.071,0,-12.842,-12.828,-0.82,5.871,-12.615,0.853,14.382,A,1.29,-12.828,-0.633387646,0.042117217,-15.03868699,0,0,FALSE,FALSE,
185289,31-Dec-21,2021,ASMB,ASSEMBLY BIOSCIENCES INC,USD,191.06,3.5106,168.929,168.929,146.627,98.186,48.12,3.151,3.325,0,-92.398,-91.932,-3,22.131,-129.855,6.254,168.929,A,2.33,-91.932,-0.481168219,0.032733173,-14.69971218,0,0,FALSE,FALSE,
20645,31-Dec-21,2021,ARDX,ARDELYX INC,USD,149.913,0.6346,82.617,82.617,116.689,156.802,130.183,35.756,9.748,0,-148.146,-146.705,-1.52,67.296,-158.165,10.097,82.617,A,1.1,-146.705,-0.978600922,0.067352398,-14.52956324,0,0,FALSE,FALSE,
28365,31-Dec-21,2021,SNES,SENESTECH INC,USD,11.501,0.8221,10.035,10.035,9.326,9.231,12.207,0.032,0.523,0,-8.934,-8.631,-0.74,1.466,-8.268,0.6,10.035,A,0.9788,-8.631,-0.750456482,0.052169377,-14.385,0,0,FALSE,FALSE,
