"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2020","87.14","87.10","88.25","86.90","26.49M","-0.25%"
"11/13/2020","88.61","87.40","88.86","86.80","29.76M","1.69%"
"11/16/2020","88.70","88.21","89.72","88.07","25.47M","0.10%"
"11/17/2020","88.08","88.39","88.86","87.97","21.32M","-0.70%"
"11/18/2020","87.03","87.83","88.25","86.93","20.11M","-1.19%"
"11/19/2020","87.93","86.66","88.17","86.50","20.11M","1.03%"
"11/20/2020","86.82","88.10","88.42","86.75","27.71M","-1.26%"
"11/23/2020","86.38","87.01","87.30","85.51","22.55M","-0.51%"
"11/24/2020","88.19","86.38","88.32","86.04","28.01M","2.10%"
"11/25/2020","88.21","88.39","88.52","87.42","19.60M","0.01%"
"11/27/2020","89.35","88.23","89.85","88.23","14.79M","1.30%"
"11/30/2020","87.72","88.78","89.02","87.39","32.42M","-1.83%"
"12/01/2020","89.77","88.33","91.09","88.15","37.36M","2.33%"
"12/02/2020","91.25","89.77","91.64","89.26","29.42M","1.65%"
"12/03/2020","91.09","91.03","92.19","90.85","24.73M","-0.17%"
"12/04/2020","91.19","91.01","91.47","90.68","20.54M","0.11%"
"12/07/2020","90.85","90.78","91.46","90.15","22.29M","-0.37%"
"12/08/2020","90.57","90.43","90.80","89.56","19.94M","-0.31%"
"12/09/2020","88.89","90.52","91.42","88.10","31.73M","-1.85%"
"12/10/2020","88.38","88.13","88.75","86.68","28.69M","-0.57%"
"12/11/2020","88.74","88.00","88.87","87.64","18.63M","0.40%"
"12/14/2020","87.61","88.54","89.49","87.46","33.05M","-1.27%"
"12/15/2020","88.05","87.99","88.20","87.08","21.37M","0.50%"
"12/16/2020","87.86","88.46","88.46","87.45","24.68M","-0.22%"
"12/17/2020","87.03","88.20","88.34","86.56","34.88M","-0.95%"
"12/18/2020","86.31","87.31","87.42","85.75","85.26M","-0.82%"
"12/21/2020","86.73","85.46","86.85","84.70","33.97M","0.48%"
"12/22/2020","86.01","86.47","86.63","85.29","20.38M","-0.83%"
"12/23/2020","86.41","86.20","87.21","86.06","22.97M","0.47%"
"12/24/2020","86.71","86.45","87.12","86.22","9.31M","0.34%"
"12/28/2020","88.70","87.25","89.35","87.09","27.65M","2.30%"
"12/29/2020","87.89","89.36","89.42","87.76","19.73M","-0.91%"
"12/30/2020","86.81","88.25","88.39","86.40","21.03M","-1.22%"
"12/31/2020","87.63","86.86","87.88","86.80","21.07M","0.94%"
"01/04/2021","86.31","88.00","88.12","85.36","37.32M","-1.51%"
"01/05/2021","87.00","86.25","87.34","85.85","20.36M","0.81%"
"01/06/2021","86.14","85.01","87.20","84.81","46.59M","-0.99%"
"01/07/2021","88.72","86.34","88.89","86.34","41.94M","2.99%"
"01/08/2021","89.89","88.86","89.97","88.06","35.48M","1.32%"
"01/11/2021","87.81","88.85","89.22","87.61","34.81M","-2.31%"
"01/12/2021","86.87","87.27","88.39","85.82","29.53M","-1.07%"
"01/13/2021","87.36","86.37","87.82","86.37","23.43M","0.57%"
"01/14/2021","86.55","87.44","88.38","86.30","29.21M","-0.93%"
"01/15/2021","86.38","86.45","87.38","85.59","31.44M","-0.19%"
"01/19/2021","89.22","87.15","90.19","86.64","41.66M","3.29%"
"01/20/2021","94.00","91.32","94.99","90.98","64.15M","5.36%"
"01/21/2021","94.21","94.68","96.60","93.97","58.66M","0.22%"
"01/22/2021","94.63","94.57","95.22","93.82","32.74M","0.45%"
"01/25/2021","94.71","95.64","96.09","92.96","50.59M","0.09%"
"01/26/2021","95.40","94.30","95.79","93.81","31.46M","0.72%"
"01/27/2021","90.95","93.75","94.02","89.86","82.51M","-4.67%"
"01/28/2021","92.66","91.55","94.40","91.55","55.28M","1.88%"
"01/29/2021","91.37","91.70","92.38","90.08","44.53M","-1.39%"
"02/01/2021","94.65","92.23","95.78","92.23","40.25M","3.60%"
"02/02/2021","95.96","95.66","97.47","95.32","66.33M","1.38%"
"02/03/2021","102.94","103.28","105.33","100.68","97.88M","7.28%"
"02/04/2021","102.68","103.03","103.46","101.75","48.60M","-0.25%"
"02/05/2021","104.44","102.98","104.80","102.50","29.87M","1.71%"
"02/08/2021","104.23","105.00","105.75","103.17","28.83M","-0.21%"
"02/09/2021","103.77","103.74","104.93","103.50","21.89M","-0.44%"
"02/10/2021","104.32","104.16","104.94","102.61","25.10M","0.53%"
"02/11/2021","104.44","104.55","104.70","103.44","20.48M","0.11%"
"02/12/2021","104.75","103.99","104.97","103.68","18.99M","0.30%"
"02/16/2021","105.54","104.59","107.26","104.59","31.00M","0.75%"
"02/17/2021","105.93","104.70","106.12","104.42","20.30M","0.38%"
"02/18/2021","105.29","105.25","106.10","104.67","22.57M","-0.60%"
"02/19/2021","104.44","105.39","105.93","104.17","37.94M","-0.81%"
"02/22/2021","102.71","102.68","104.02","102.40","29.47M","-1.65%"
"02/23/2021","103.01","100.70","103.63","99.51","34.66M","0.29%"
"02/24/2021","104.19","101.50","104.42","101.38","22.61M","1.15%"
"02/25/2021","100.80","102.80","104.15","100.32","41.55M","-3.26%"
"02/26/2021","101.10","101.50","102.83","100.05","40.04M","0.30%"
"03/01/2021","103.48","102.40","103.81","101.72","26.06M","2.36%"
"03/02/2021","103.22","103.24","104.74","102.83","25.56M","-0.25%"
"03/03/2021","100.57","102.60","103.80","99.70","33.89M","-2.57%"
"03/04/2021","101.70","100.74","103.73","100.27","49.22M","1.12%"
"03/05/2021","104.85","103.06","105.31","101.39","53.10M","3.10%"
"03/08/2021","100.38","104.20","105.69","100.26","36.87M","-4.27%"
"03/09/2021","102.02","102.49","103.20","101.78","33.92M","1.64%"
"03/10/2021","101.81","103.07","103.07","100.97","27.10M","-0.20%"
"03/11/2021","105.03","102.91","105.56","102.82","27.70M","3.16%"
"03/12/2021","102.50","103.82","103.88","101.62","33.82M","-2.41%"
"03/15/2021","102.72","102.25","102.75","101.39","26.21M","0.22%"
"03/16/2021","104.19","103.30","105.68","102.96","31.90M","1.43%"
"03/17/2021","104.11","103.42","104.95","102.21","26.38M","-0.08%"
"03/18/2021","101.07","102.41","103.44","100.96","31.71M","-2.92%"
"03/19/2021","101.35","101.49","101.85","100.15","46.07M","0.28%"
"03/22/2021","101.53","101.38","102.42","100.70","33.54M","0.18%"
"03/23/2021","102.07","102.00","103.21","101.40","28.51M","0.52%"
"03/24/2021","101.63","102.59","103.38","101.45","25.22M","-0.43%"
"03/25/2021","101.62","101.45","102.28","99.80","35.62M","0.00%"
"03/26/2021","101.24","101.59","101.97","100.19","27.98M","-0.38%"
"03/29/2021","102.29","101.11","102.46","100.27","26.49M","1.04%"
"03/30/2021","102.32","102.65","103.13","101.81","27.32M","0.03%"
"03/31/2021","103.13","102.72","104.31","102.35","42.57M","0.78%"
"04/01/2021","106.49","104.61","106.79","104.57","39.88M","3.26%"
"04/05/2021","110.95","107.36","111.45","107.26","48.51M","4.19%"
"04/06/2021","110.46","110.55","111.40","110.09","35.24M","-0.44%"
"04/07/2021","111.95","110.65","112.22","110.65","24.13M","1.35%"
"04/08/2021","112.52","113.20","113.59","112.15","28.66M","0.51%"
"04/09/2021","113.53","112.27","113.70","111.86","26.15M","0.90%"
"04/12/2021","112.23","112.71","112.84","111.39","25.02M","-1.15%"
"04/13/2021","112.72","112.55","113.17","112.15","25.68M","0.44%"
"04/14/2021","112.10","113.37","113.37","111.80","21.00M","-0.56%"
"04/15/2021","114.26","113.10","114.80","112.56","29.17M","1.93%"
"04/16/2021","114.14","114.46","114.71","113.55","26.28M","-0.11%"
"04/19/2021","114.49","113.51","115.20","113.51","30.29M","0.31%"
"04/20/2021","113.95","114.87","114.95","112.86","22.29M","-0.47%"
"04/21/2021","113.92","113.60","114.00","112.24","23.20M","-0.03%"
"04/22/2021","112.63","113.77","114.44","112.02","24.15M","-1.13%"
"04/23/2021","115.00","113.35","115.31","113.06","29.11M","2.10%"
"04/26/2021","115.50","115.23","116.23","114.87","32.04M","0.43%"
"04/27/2021","114.55","115.88","115.92","114.31","44.39M","-0.82%"
"04/28/2021","117.95","119.62","121.57","117.66","81.11M","2.97%"
"04/29/2021","119.64","119.46","120.21","118.69","41.23M","1.43%"
"04/30/2021","117.68","118.40","119.09","117.33","44.86M","-1.64%"
"05/03/2021","117.15","118.25","119.08","116.78","28.24M","-0.44%"
"05/04/2021","115.34","115.68","116.25","112.83","44.82M","-1.55%"
"05/05/2021","115.74","116.43","116.75","115.41","26.64M","0.34%"
"05/06/2021","116.87","115.32","116.87","114.65","25.19M","0.98%"
"05/07/2021","117.60","118.19","118.56","117.31","28.90M","0.62%"
"05/10/2021","114.59","116.41","116.55","114.23","30.91M","-2.56%"
"05/11/2021","113.50","112.15","114.01","111.70","34.19M","-0.95%"
"05/12/2021","110.01","111.31","112.40","109.68","46.38M","-3.08%"
"05/13/2021","111.45","111.31","111.97","110.34","33.22M","1.31%"
"05/14/2021","113.92","112.93","114.24","112.50","32.00M","2.21%"
"05/17/2021","114.45","113.18","114.49","112.78","21.60M","0.46%"
"05/18/2021","113.12","115.12","115.38","113.11","22.20M","-1.16%"
"05/19/2021","113.57","111.42","113.75","111.27","23.68M","0.40%"
"05/20/2021","115.35","114.55","115.60","114.18","32.35M","1.56%"
"05/21/2021","114.71","115.87","115.94","114.46","40.63M","-0.56%"
"05/24/2021","118.05","115.74","118.28","115.60","31.83M","2.92%"
"05/25/2021","118.14","118.60","119.20","117.75","22.44M","0.08%"
"05/26/2021","119.02","118.33","119.45","118.32","21.57M","0.74%"
"05/27/2021","118.13","119.45","119.45","117.81","35.22M","-0.74%"
"05/28/2021","117.84","118.72","118.80","117.64","21.49M","-0.25%"
"06/01/2021","119.06","118.72","119.29","117.71","23.36M","1.03%"
"06/02/2021","118.53","119.46","119.68","117.62","21.16M","-0.44%"
"06/03/2021","117.38","117.29","117.85","116.48","18.70M","-0.97%"
"06/04/2021","119.68","118.46","119.95","118.12","24.46M","1.96%"
"06/07/2021","120.11","119.47","120.23","119.05","24.12M","0.36%"
"06/08/2021","119.92","120.60","120.98","119.74","24.24M","-0.16%"
"06/09/2021","120.40","120.57","120.64","119.85","17.94M","0.40%"
"06/10/2021","121.76","120.35","121.80","120.19","25.91M","1.13%"
"06/11/2021","121.51","122.00","122.09","120.95","21.96M","-0.20%"
"06/14/2021","122.45","121.61","122.45","120.90","22.10M","0.77%"
"06/15/2021","121.42","122.45","122.78","121.06","21.56M","-0.84%"
"06/16/2021","120.77","121.57","121.89","119.47","26.47M","-0.53%"
"06/17/2021","121.74","120.70","122.52","120.50","25.85M","0.80%"
"06/18/2021","120.11","121.37","121.60","120.01","46.12M","-1.34%"
"06/21/2021","121.81","120.50","122.00","119.90","27.41M","1.42%"
"06/22/2021","122.33","121.75","122.40","121.06","22.39M","0.43%"
"06/23/2021","122.13","122.09","123.10","121.83","19.15M","-0.17%"
"06/24/2021","122.50","122.70","123.06","122.30","21.37M","0.31%"
"06/25/2021","122.51","122.00","122.63","121.57","34.60M","0.01%"
"06/28/2021","122.54","122.68","122.78","121.41","28.53M","0.02%"
"06/29/2021","122.27","122.67","123.02","121.69","23.11M","-0.22%"
